word,chunk,postposition,head-postag,dependency,is_arg,srl,predicate
साथ,NP3,0,VGF,k7t,1,ARGM-MNR,VGF
खोला,VGF,या_जा+ना_है,0,root,0,,
आपदा,NP,0,VGNF,k1,1,ARG1,VGNF
आते,VGNF,ता,VGF,vmod,0,,
कोष,NP2,0_का,NP3,r6,0,,
नाम,NP3,0_पर,VGF,k7,0,,
ठग,NP4,0,VGF,k1,0,,
सक्रिय,JJP,0,VGF,pof,0,,
हो,VGF,0_उठ+ता_है,0,root,0,,
संवेदनशील,JJP,0,CCP,ccof,0,,
व,CCP,0,NP,nmod,0,,
भावुक,JJP2,0,CCP,ccof,0,,
लोगों,NP,0_द्वारा,VGNF,k1,1,ARG0,VGNF
कोष,NP2,0_में,VGNF,k7p,1,ARGM-LOC,VGNF
दी,VGNF,या_जा+या१,NP3,nmod__k2inv,0,,
राशि,NP3,0,VGF,k1,1,ARG1,VGNF
बार,NP4,0,VGF,adv,1,ARGM-MNR,VGF
फरेबियों,NP5,0_का,NP6,r6,0,,
जेब,NP6,0_में,VGF,k2p,1,ARGM-LOC,VGF
चली,VGF,या_जा+ता_है,0,root,0,,
इसलिए,NP,0,VGF,rh,1,ARGM-DIS,VGF
लहरों,NP2,0_का,NP5,r6,0,,
कहर,NP3,0_से,JJP,jjmod,0,,
पीड़ित,JJP,0,NP5,nmod,0,,
लोगों,NP4,0_के_लिए,VGF,rt,1,ARGM-PRP,VGF
दान,NP5,0,VGF,k2,1,ARG1,VGF
दें,VGF,एं,CCP,ccof,0,,
पर,CCP,0,0,root,0,,
NULL2,NULL2,0,0,root,0,,
संभलकर,VGNF,कर,NULL__VGF,vmod,0,,
NULL3,NULL3,0,CCP,ccof,0,,
दिल्ली,NP,0_का,NP2,r6,0,,
अग्रवाल,NP2,0,VGF,k1,0,,
सचेत,JJP,0,VGF,pof,0,,
करते,VGF,ता_है,0,root,0,,
1,BLK,0,VGF2,enm,1,ARGM-LOC,VGF2
NULL2,NULL__NP,0,0,root,0,,
कोष,NP3,0_में,VGNN,k7p,1,ARG2,VGNN
दान,NP4,0,VGNN,k2,1,ARG1,VGNN
देने,VGNN,ना_से_पहले,VGF2,k7t,1,ARGM-TMP,VGF2
संस्था,NP5,0_का,NP6,r6,0,,
विश्वसनीयता,NP6,0,VGF2,k2,1,ARG1,VGF2
परख,VGF2,0_ले+एं,VGF,k2,0,,
दान,NP,0_का,NP2,r6,0,,
पावती,NP2,0,VGF,k2,1,ARG1,VGF
जरूर,RBP,0,VGF,adv,1,ARGM-ADV,VGF
लें,VGF,एं,0,root,0,,
बात,NP,0_का,NP2,r6-k2,0,,
पड़ताल,NP2,0,VGF,pof,0,,
कर,VGF,0_ले+एं,CCP3,ccof,0,,
कि,CCP,0,NP,rs,0,,
पावती,NP3,0_पर,VGF2,k7,1,ARGM-LOC,VGF2
आयकर,NP4,0_का,NP5,r6,0,,
जी,NP5,0_के_तहत,VGF2,k7,1,ARGM-MNR,VGF2
आयकर2,NP6,0_में,VGF2,k7,1,ARGM-LOC,VGF2
छूट,NP7,0_का,NP8,r6,0,,
प्रावधान,NP8,0,VGF2,k1,1,ARG1,VGF2
है,VGF2,है,CCP2,ccof,0,,
कि2,CCP2,0,CCP,ccof,0,,
नहीं,NEGP,0,NULL__VGF,fragof,0,,
",",CCP3,0,0,root,0,,
NULL2,NULL2,0,0,root,0,,
यदि,CCP4,0,VGF4,vmod,1,ARGM-ADV,VGF4
प्रावधान2,NP9,0_का,NP10,r6,0,,
उल्लेख,NP10,0,VGF3,k1,1,ARG1,VGF3
है2,VGF3,है,CCP4,ccof,0,,
तो,CCP5,0,CCP3,ccof,0,,
नंबर,NP11,0,VGF4,k1,1,ARG1,VGF4
जरूर,RBP,0,VGF4,adv,1,ARGM-MNR,VGF4
लिखा,VGF4,या_हो+ना_चाह+एं,CCP5,ccof,0,,
2,BLK,0,VGF,enm,1,ARGM-DIS,VGF
कोष,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF
दान,NP2,0_के_लिए,VGF,rt,1,ARGM-PRP,VGF
कोष2,NP3,0,VGF,k1,1,ARG1,VGF
लोकप्रिय,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
यदि,CCP,0,VGF3,vmod,1,ARGM-ADV,VGF3
आपकी,NP,0,NP2,r6,0,,
आय,NP2,0,VGF,k1,1,ARG1,VGF
रुपए,NP3,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,CCP2,ccof,0,,
और,CCP2,0,CCP,ccof,0,,
आप,NP4,0,VGF2,k1,0,,
रुपए2,NP5,0,VGF2,k2,0,,
कोष,NP6,0_में,VGF2,k7p,0,,
दान,NP7,0,VGF2,pof,0,,
करते,VGF2,ता_है,CCP2,ccof,0,,
तो,CCP3,0,0,root,0,,
गणना,NP8,0_के_लिए,VGF3,rt,1,ARGM-PRP,VGF3
आपकी2,NP9,का,NP10,r6,0,,
आय2,NP10,0,VGF3,k1,1,ARG1,VGF3
हजार2,NP11,0,VGF3,k1s,1,ARG2-ATR,VGF3
मानी,VGF3,या_जा+गा,CCP3,ccof,0,,
यदि,CCP,0,VGF2,vmod,0,,
आपकी,NP,0,NP2,r6,0,,
आय,NP2,0,VGF,k1,1,ARG1,VGF
लाख,NP3,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,CCP,ccof,0,,
तो,CCP2,0,NULL__CCP,ccof,0,,
आप,NP4,0,VGF2,k1,1,ARG0,VGNF
चाहे,VGNF,या,VGF2,vmod,0,,
रकम,NP5,0,VGF2,k2,0,,
दान,NP6,0,VGF2,pof,0,,
कर,VGF2,0_दे+एं,CCP2,ccof,0,,
NULL2,NULL2,0,0,root,0,,
अधिनियम,NP7,0_का,NP8,r6,0,,
जी,NP8,0_के_अतंर्गत,VGF3,k7,0,,
आपको,NP9,को,VGF3,k4a,0,,
अधिक,NP10,0_से,NP11,nmod,0,,
राशि,NP11,0_पर,VGF3,k7,0,,
राहत,NP12,0,VGF3,k1,0,,
प्राप्त,JJP,0,VGF3,pof,0,,
होगी,VGF3,गा,NULL__CCP,ccof,0,,
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
कि,CCP,0,NULL__NP,rs,0,,
NULL2,NULL2,0,0,root,0,,
संस्था,NP,0_को,VGNF,k4,1,ARG2,VGNF
दान,NP2,0,VGNF,k2,1,ARG1,VGNF
देकर,VGNF,कर,VGF2,vmod,0,,
दान2,NP3,0_का,NP4,r6,0,,
रकम,NP4,0_पर,VGF2,k7,0,,
फ़ीसदी,NP5,0,NP6,nmod,0,,
राहत,NP6,0_का,NP7,r6-k2,0,,
दावा,NP7,0,VGF2,pof,0,,
किया,VGF2,या_जा_सक+ता,CCP,ccof,0,,
जी,NP,0_के_तहत,VGF,k7,1,ARGM-EXT,VGF
फ़ीसदी,NP2,0_से,VGNF,k5,1,ARGM-EXT,VGNF
लेकर,VGNF,कर,NP3,rsp,0,,
फ़ीसदी2,NP3,0_का,NP4,r6,0,,
छूट,NP4,0_का,NP5,r6,0,,
प्रावधान,NP5,0,VGF,k1,1,ARG1,VGF
है,VGF,है,0,root,0,,
शर्मा,NP,0,VGF,k1,1,ARG0,VGF
कहते,VGF,ता_है,0,root,0,,
1,BLK,0,VGF,enm,1,ARGM-ADV,VGF
अधिनियम,NP2,0_का,NP3,r6,0,,
जी,NP3,0_के_अंतर्गत,VGF2,k7,0,,
संस्थाओं,NP4,0_को,VGF2,k4a,0,,
दान,NP5,0,VGNN,pof,0,,
देने,VGNN,ना_का,NP6,r6,0,,
रकम,NP6,0_पर,VGF2,k7,0,,
फ़ीसदी,NP7,0,NP8,nmod,0,,
छूट,NP8,0,VGF2,k1,0,,
प्राप्त,JJP,0,VGF2,pof,0,,
होती,VGF2,ता_है,VGF,k2,1,ARG1,VGF
जिन्हें,NP9,को,VGF3,k4,1,ARG0,VGNN2
एसी,NP10,0_के_तहत,VGF3,k7,0,,
संग्रह,NP11,0,VGNN2,k2,1,ARG1,VGNN2
करने,VGNN2,ना_का,NP12,r6-k2,0,,
अनुमति,NP12,0,VGF3,pof,0,,
दी,VGF3,या_जा+या१_है,NP4,nmod__relc,0,,
संभव,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
आप,NP,0,VGF2,k1,0,,
संस्था,NP2,0_को,VGF2,k4,0,,
दान,NP3,0,VGF2,pof,0,,
कर,VGF2,0_रह+या_है,NP4,nmod__relc,0,,
उसे,NP4,0,VGF3,k4a,0,,
दान2,NP5,0,VGNF,pof,0,,
दी,VGNF,या_जा+या१,NP6,nmod__k2inv,0,,
रकम,NP6,0_पर,VGF3,k7,0,,
फ़ीसदी,NP7,0,NP8,nmod,0,,
छूट,NP8,0,VGF3,k1,0,,
प्राप्त,JJP2,0,VGF3,pof,0,,
हो,VGF3,0,NULL__NP,rs,0,,
इसलिए,NP,0,VGF,rh,0,,
दान,NP2,0,VGNN,k2,1,ARG1,VGNN
देने,VGNN,ना_से_पहले,VGF,k7t,0,,
NULL2,NULL__NP,0,0,root,0,,
संस्था,NP3,0_को,VGNF,k4,1,ARG2,VGNF
दी,VGNF,या_जा+या१,NP4,r6,0,,
छूट,NP4,0,CCP,ccof,1,ARG1,VGNF
और,CCP,0,VGF,k7,0,,
छूट2,NP5,0_का,NP6,r6,0,,
अवधि,NP6,0_पर,CCP,ccof,0,,
नज़र,NP7,0,VGF,pof,0,,
डाल,VGF,0_ले+एं,0,root,0,,
2,BLK,0,VGF,enm,1,ARGM-ADV,VGF
आप,NP,0,VGF,k1,1,ARG0,VGF
दान,NP2,0,VGF,k2,1,ARG1,VGF
चाहे,VGNF,एं,VGF,adv,1,ARGM-MOD,VGF
नकद,NP3,0,CCP,ccof,0,,
NULL2,NULL2,0,0,root,0,,
दें,VGF,एं,VGF2,vmod__adv,1,ARGM-ADV,VGF2
या,CCP,0,VGF,k3,1,ARGM-MNS,VGF
चेक,NP4,0_से,CCP,ccof,0,,
दान2,NP5,0_का,NP6,r6,0,,
रसीद,NP6,0,VGF2,k2,1,ARG1,VGF2
NULL3,NULL3,0,0,root,0,,
संभालकर,VGNF2,कर,VGF2,adv,1,ARGM-MNR,VGF2
रखें,VGF2,एं,0,root,0,,
आयकर,NP,0_में,VGNN,k7,0,,
छूट,NP2,0_का,NP3,r6-k2,0,,
दावा,NP3,0,VGNN,pof,0,,
करने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-PRP,VGF
यह,NP4,0,VGF,k1,1,ARG1,VGF
ज़रूरी,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
है,VGF,है,0,root,0,,
घाटी,NP,0_में,VGNN,k7p,1,ARGM-LOC,VGNN
बर्फ़,NP2,0,VGNN,k1,1,ARG1,VGNN
गिरने,VGNN,ना_से,NULL__VGF,rh,0,,
यहां,NP3,0_से,VGNF,k5,1,ARGM-LOC,VGNF
चली,VGNF,या,NP4,nmod__k1inv,0,,
लहर,NP4,0_ने,NULL__VGF,k1,1,ARG0,VGF
पर्वतीय,JJP,0,NULL__VGF,k2,0,,
नहीं,NEGP,0,NULL__VGF,mod,0,,
NULL2,NULL2,0,CCP,ccof,0,,
बल्कि,CCP,0,0,root,0,,
मैदानी,JJP2,0,NP5,nmod,0,,
NULL3,NULL__NP,0,0,root,0,,
इलाकों,NP5,0_को,VGF,k2,1,ARG2,VGF
ठिठुरा,VGF,या_दे+या,CCP,ccof,0,,
श्रीनगर,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF
पारा,NP2,0,VGF,k1,1,ARG1,VGNF
लुढ़ककर,VGNF,कर,NP2,nmod__k1inv,0,,
सेल्सियस,NP3,0,VGF,k1s,1,ARG2-ATR,VGF
हो,VGF,0_जा+या१,0,root,0,,
वहीं,NP,0,VGF,sent-adv,1,ARGM-DIS,VGF
राजस्थान,NP2,0_का,NP3,r6,0,,
जिला,NP3,0,VGF,k1,1,ARG1,VGF
ठंडा,JJP,0,VGF,k1s,1,ARG2-ATR,VGF
रहा,VGF,या,0,root,0,,
जहां,NP4,0,VGF2,k7p,1,ARGM-LOC,VGF2
रात,NP5,0,VGF2,k7t,1,ARGM-TMP,VGF2
तापमान,NP6,0,VGF2,k1,1,ARG1,VGF2
शून्य,NP7,0_पर,VGF2,k7,1,ARGM-LOC,VGF2
अटक,VGF2,0_जा+या१,NP3,nmod__relc,0,,
",",NP,0,VGF,sent-adv,0,,
राजधानी,NP2,0,NP3,nmod,0,,
दिल्ली,NP3,0_को,VGF,k2,1,ARG1,VGF
कोहरे,NP4,0_ने,VGF,k1,1,ARG0,VGF
आगोश,NP5,0_में,VGF,k7,1,ARGM-LOC,VGF
ले,VGF,0_ले+या,0,root,0,,
इसके,NP,का_चल,VGF,rh,0,,
ट्रेन,NP2,0,VGF,k1,0,,
रद्द,JJP,0,VGF,pof,0,,
हुईं,VGF,या,CCP,ccof,0,,
",",CCP,0,0,root,0,,
विमानों,NP3,0_का,NP4,r6,0,,
उड़ानों,NP4,0_में,VGF2,k7,1,ARGM-LOC,VGF2
व्यवधान,NP5,0,VGF2,k1,1,ARG1,VGF2
रहा,VGF2,या,CCP,ccof,0,,
दिल्ली,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF
दिन,NP2,0_का,NP3,r6,0,,
धूप,NP3,0_के_बाद,VGF,k7t,1,ARGM-TMP,VGF
मंगलवार,NP4,0_का,NP5,r6,0,,
दिन2,NP5,0,VGF,k1,1,ARG1,VGF
मौसम,NP6,0_का,NP7,r6,0,,
दिन3,NP7,0,VGF,k1s,1,ARG2-ATR,VGF
रहा,VGF,या,0,root,0,,
सूत्रों,NP,0_ने,VGF,k1,1,ARG0,VGF
बताया,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
कश्मीर,NP2,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
बारामुला,NP3,0_का,NP4,r6,0,,
गुलमर्ग,NP4,0,JJP,jjmod,0,,
स्थित,JJP,0,NP5,nmod,0,,
रिजार्ट,NP5,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
बर्फ़,NP6,0_का,NP8,r6,0,,
इंच,NP7,0,NP8,nmod,0,,
परत,NP8,0,VGF2,k1,1,ARG0,VGF2
बिछ,VGF2,0_जा+या१,CCP,ccof,0,,
नहीं,NP,0,VGF,vmod,1,ARGM-DIS,VGF
राज्य,NP2,0,VGNF,k7p,1,ARGM-MNR,VGNF
खासकर,RBP,0,NP3,adv,0,,
कश्मीर,NP3,0_में,VGNF,k7p,1,ARGM-LOC,VGNF
हुई,VGNF,या,NP4,nmod__k1inv,0,,
बर्फ़बारी,NP4,0_से,VGF,rh,1,ARGM-MNS,VGF
लहर,NP5,0_ने,VGF,k1,1,ARG0,VGF
जोर,NP6,0,VGF,k2,1,ARG1,VGF
पकड़,VGF,0_ले+या,0,root,0,,
जिले,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF
जगह,NP2,0,VGF,k7p,1,ARGM-LOC,VGF
बर्फ़,NP3,0_का,NP6,r6,0,,
इंच,NP4,0_से,NP5,rsp,0,,
फीट,NP5,0,NP6,nmod,0,,
पर्त,NP6,0,VGF,k2,1,ARG1,VGF
देखी,VGF,या_जा+या१,0,root,0,,
श्रीनगर,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF
आज,NP2,0,VGNF,k7t,1,ARGM-TMP,VGNF
हुई,VGNF,या,NP3,nmod__k1inv,0,,
बर्फ़बारी,NP3,0_से,VGF,rh,1,ARG1,VGNF
तापमान,NP4,0,VGF,k1,1,ARG1,VGF
NULL2,NULL__NP,0,0,root,0,,
गिरकर,VGNF2,कर,VGF,vmod,1,ARGM-MNR,VGF
सेल्सियस,NP5,0,VGF,k1s,1,ARG2-ATR,VGF
हो,VGF,0_जा+या१,0,root,0,,
पहाड़ों,NP,0_का,NP2,r6,0,,
सर्दी,NP2,0,VGF,k1,1,ARG0,VGF
इलाकों,NP3,0_को,VGF,k2,1,ARG1,VGF
कंपकंपा,VGF,0_जा+या१,0,root,0,,
शीतलहर,NP,0_ने,VGF,k1,0,,
भारत,NP2,0_को,VGF,k2,0,,
प्रभावित,JJP,0,VGF,pof,0,,
किया,VGF,या,CCP,ccof,0,,
लेकिन,CCP,0,0,root,0,,
इसका,NP3,का,NP4,r6,0,,
असर,NP4,0,VGF2,k2,1,ARG1,VGF2
आज,NP5,0,VGF2,k7t,1,ARGM-TMP,VGF2
राजस्थान,NP6,0_का,NP7,r6,0,,
जिले,NP7,0_में,VGF2,k7p,1,ARGM-LOC,VGF2
देखा,VGF2,या_जा+या१,CCP,ccof,0,,
यहां,NP,0,VGF,k7p,1,ARGM-LOC,VGF
पारा,NP2,0,VGF,k1,1,ARG1,VGNF
लुढ़कर,VGNF,0,VGF,vmod,1,ARGM-MNR,VGF
डिग्री,NP3,0,VGF,k1s,1,ARG2-ATR,VGF
हो,VGF,0_जा+या१_है,0,root,0,,
इसके,NP,का_अलावा,VGF,vmod,1,ARGM-DIS,VGF
आबू,NP2,0_में,VGF,k7p,1,ARG2-LOC,VGF
तापमान,NP3,0,VGF,k1,1,ARG0,VGF
डिग्री,NP4,0,VGF,k1s,1,ARGM-MNR,VGF
रहा,VGF,या,0,root,0,,
यहां,NP,0,VGF,k7p,1,ARGM-LOC,VGF
रात,NP2,0,VGF,k7t,1,ARGM-TMP,VGF
तापमान,NP3,0,VGF,k1,1,ARG1,VGF
शून्य,NP4,0,VGF,k1s,1,ARG2-ATR,VGF
था,VGF,था,0,root,0,,
जबकि,CCP,0,0,root,0,,
राजधानी,NP,0,NP2,nmod,0,,
दिल्ली,NP2,0_में,VGF,k7p,1,ARGM-LOC,VGF
मंगलवार,NP3,0_को,VGF,k7t,1,ARGM-TMP,VGF
मौसम,NP4,0_का,NP5,r6,0,,
ठंड,NP5,0,VGF,k1,1,ARG1,VGF
पड़ी,VGF,या,CCP,ccof,0,,
यहां,NP,0,VGF,k7p,1,ARGM-LOC,VGF
तापमान,NP2,0,VGF,k1,1,ARG1,VGF
सेल्सियस,NP3,0,VGF,k1s,1,ARG2-ATR,VGF
रहा,VGF,या,0,root,0,,
जोकि,NP4,0,VGF2,k1,1,ARGM-DIS,VGF2
सोमवार,NP5,0_को,VGF2,k7t,1,ARG1,VGF2
५.७,NP6,0,VGF2,k1s,1,ARG2-ATR,VGF2
था,VGF2,था,NP2,nmod__relc,0,,
इसी,NP,0_के_साथ,VGF,vmod,1,ARGM-MNR,VGF
महानगर,NP2,0_पर,VGF,k7p,1,ARGM-LOC,VGF
कोहरे,NP3,0_का,NP4,r6,0,,
परत,NP4,0,VGF,k1,1,ARG1,VGF
छाई,VGF,या_रह+या,0,root,0,,
विभाग,NP,0_का,NP2,r6,0,,
अधिकारियों,NP2,0_का_मुताबिक,VGF,k7,1,ARGM-ADV,VGF
समय,NP3,0,VGF,k7t,1,ARGM-EXT,VGF
कोहरे,NP4,0_का,NP5,r6,0,,
स्थिति,NP5,0,VGF,k1,1,ARG1,VGF
बनी,VGF,या_रह+गा,0,root,0,,
क्षेत्र,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF
तड़के,NP2,0,NP3,nmod,0,,
कोहरा,NP3,0,VGF,k1,1,ARG1,VGF
छा,VGF,0_जा+या१,0,root,0,,
जिसके,NP4,का_कारण,VGF2,rh,0,,
मीटर,NP5,0_का,NP6,r6,0,,
दूरी,NP6,0_पर,VGNN,k7p,1,ARG1,VGNN
दिखना,VGNN,ना,VGF2,k1,0,,
बंद,JJP,0,VGF2,pof,0,,
हो,VGF2,0_जा+या१,VGF,vmod,1,ARGM-DIS,VGF
इसके,NP,का_चल,VGF,rh,1,ARGM-CAU,VGF
समय,NP2,0_पर,VGF,k7t,1,ARGM-TMP,VGF
विमानों,NP3,0_का,NP4,r6,0,,
उड़ानों,NP4,0_में,VGF,k7,1,ARGM-LOC,VGF
दिक्कतें,NP5,0,VGF,k1,1,ARG1,VGF
आई,VGF,या,0,root,0,,
लेकिन,CCP,0,0,root,0,,
पत्तन,NP,0_का,NP2,r6,0,,
प्रवक्ता,NP2,0_का_अनुसार,VGF,k7,1,ARGM-MNR,VGF
विमानों,NP3,0_का,VGNN,r6,1,ARG0,VGNN
उतरने,VGNN,ना,CCP2,ccof,0,,
व,CCP2,0,NP5,r6,0,,
उड़ान,NP4,0,VGNN2,pof,0,,
भरने,VGNN2,ना_का,CCP2,ccof,0,,
रोशनी,NP5,0,VGF,k1,1,ARG1,VGF
थी,VGF,था,CCP,ccof,0,,
सुबह,NP,0,NP2,nmod,0,,
बजे,NP2,एं,VGF,k7t,1,ARGM-TMP,VGF
इलाके,NP3,0_में,VGF,k7p,1,ARGM-LOC,VGF
मीटर,NP4,0,VGF,k2,1,ARGM-EXT,VGF
देखा,VGF,या_जा_सक+ता_था,0,root,0,,
इसलिए,CCP,0,VGF,rh,1,ARGM-DIS,VGF
सुबह,NP,0,VGF,k7t,1,ARGM-TMP,VGF
सड़कों,NP2,0_पर,VGF,k7p,1,ARG2-LOC,VGF
यातायात,NP3,0,VGF,k1,1,ARG1,VGF
न,NEGP,0,VGF,k1s,1,ARGM-NEG,VGF
रहा,VGF,या,0,root,0,,
राजधानी,NP,0_में,VGF,k7p,0,,
वाहन,NP2,0,VGF,k1,1,ARG0,VGNF
लाइट,NP3,0_के_बावजूद,VGF,vmod,0,,
रेंगते,VGNF,ता,NP2,nmod__k1inv,0,,
नज़र,NP4,0,VGF,pof,0,,
आए,VGF,एं,0,root,0,,
सरकार,NP,0_ने,VGF,k1,1,ARG0,VGF
दलों,NP2,0_का,NP3,r6,0,,
सुझाव,NP3,0,VGNF,k2,1,ARG1,VGNF
मानते,VGNF,ता_हो+या,VGF,vmod,1,ARGM-MNR,VGF
चुनाव,NP4,0_का,NP5,r6,0,,
नतीजे,NP5,0,VGNN,k1,1,ARG1,VGNN
आने,VGNN,ना,VGF,k7t,1,ARGM-TMP,VGF
पेट्रोल,NP6,0,CCP,ccof,0,,
व,CCP,0,NP8,r6,0,,
डीजल,NP7,0_का,CCP,ccof,0,,
कीमतों,NP8,0_में,NP9,nmod,0,,
वृद्धि,NP9,0,VGF,k2,1,ARG1,VGF
टाल,VGF,0_दे+या_है,0,root,0,,
सरकार,NP,0_ने,VGF,k1,1,ARG0,VGF
कंपनियों,NP2,0_से,VGF,k4,1,ARG2,VGF
कहा,VGF,या_है,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
कम2,NP3,0,NP4,nmod,0,,
पखवाड़े,NP4,0,VGF2,k7t,1,ARGM-EXT,VGF2
दाम,NP5,0,VGF2,k2,1,ARG1,VGF2
बढ़ाए,VGF2,या_जा+एं,CCP,ccof,0,,
अय्यर,NP,0_ने,VGF,k1,1,ARG0,VGF
रविवार,NP2,0_को,VGF,k7t,1,ARGM-TMP,VGF
कहा,VGF,या,0,root,0,,
आज,NP3,0,VGF2,k7t,1,ARGM-TMP,VGF2
कीमतें,NP4,0,VGF2,k2,1,ARG1,VGF2
बढ़ाई,VGF2,या_जा_रह+या_है,VGF,k2,1,ARG1,VGF
दलों,NP,0_ने,VGF,k1,0,,
सरकार,NP2,0_से,VGF,k5,0,,
आग्रह,NP3,0,VGF,pof,0,,
किया,VGF,या_था,0,root,0,,
कि,CCP,0,VGF,k2,0,,
पदार्थो,NP4,0_का,NP5,r6,0,,
कीमतों,NP5,0_में,VGF2,k7,1,ARGM-LOC,VGF2
वृद्धि,NP6,0_को,VGF2,k2,1,ARG1,VGF2
पद,NP7,0_के,NP8,r6,0,,
चुनाव,NP8,0,VGF2,k7,1,ARGM-EXT,VGF2
टाल,VGF2,0_दे+या_जा+एं,CCP,ccof,0,,
अय्यर,NP,0_ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
बाजार,NP2,0_में,VGF2,k7p,1,ARG2-GOL,VGF2
तेल,NP3,0_का,NP4,r6,0,,
कीमत,NP4,0,VGF2,k1,1,ARG0,VGF2
माह,NP5,0,VGF2,k7,1,ARGM-TMP,VGF2
बैरल,NP6,0,NP4,nmod,0,,
जा,VGF2,0_पहुंचा+या,CCP,ccof,0,,
माना,VGF,या_जा_रह+या_था,CCP3,ccof,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
अमेरिका,NP,0_का,NP2,r6,0,,
अपने,NP2,0,JJP,r6,0,,
वित्तीय,JJP,0,CCP2,ccof,0,,
और,CCP2,0,NP3,nmod,0,,
वाणिज्यिक,JJP2,0,CCP2,ccof,0,,
घाटे,NP3,0_को,VGNN,k2,1,ARG1,VGNN
कम,NP4,0,VGNN,k2s,1,ARGM-PRX,VGNN
करने,VGNN,ना_के,NP5,r6,0,,
उपाय,NP5,0_से,VGF2,k3,1,ARGM-MNS,VGF2
इस,NP6,0_पर,VGF2,k7,1,ARGM-LOC,VGF2
लगाम,NP7,0,VGF2,k1,1,ARG1,VGF2
लग,VGF2,0_सक+ता_है,CCP,ccof,0,,
लेकिन,CCP3,0,0,root,0,,
नवंबर,NP8,0_को,VGNN2,k7t,1,ARGM-TMP,VGNN2
NULL2,NULL__NP,0,0,root,0,,
होने,VGNN2,ना_वाला,NP9,nmod__k1inv,0,,
चुनाव,NP9,0_का,NP10,r6,1,ARG1,VGNN2
वजह,NP10,0_से,VGF3,rh,1,ARGM-CAU,VGF3
इस2,NP11,0_बारे_में,VGF3,k7,1,ARGM-LOC,VGF3
कदम,NP12,0,VGF3,k2,1,ARG1,VGF3
उठाया,VGF3,या_जा_सक+या,CCP3,ccof,0,,
अय्यर,NP,0_ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
यह,NP2,0,VGF2,k1,1,ARG1,VGF2
धारणा,NP3,0,VGF2,k1s,1,ARG2-ATR,VGF2
है,VGF2,है,CCP,ccof,0,,
कि2,CCP2,0,NP3,rs,0,,
चुनाव,NP4,0_के_बाद,VGF3,k7,1,ARGM-TMP,VGF3
तेल,NP5,0_का,NP6,r6,0,,
कीमतें,NP6,0,VGF3,k1,1,ARG1,VGF3
घटेंगी,VGF3,गा,CCP2,ccof,0,,
येचुरी,NP,0_ने,VGF,k1,1,ARG0,VGF
कहा,VGF,या,0,root,0,,
कि,CCP,0,VGF,k2,1,ARG1,VGF
दल,NP2,0,VGF2,k1,1,ARG1,VGF2
पेट्रोल,NP3,0,CCP2,ccof,0,,
और,CCP2,0,NP5,r6,0,,
डीजल,NP4,0_का,CCP2,ccof,0,,
कीमतों,NP5,0_में,VGF2,k7,1,ARGM-LOC,VGF2
बढ़ोतरी,NP6,0_के_खिलाफ,VGF2,vmod,1,ARG2-ATR,VGF2
हैं,VGF2,है,CCP3,ccof,0,,
लेकिन,CCP3,0,CCP,ccof,0,,
हम,NP7,0,VGF3,k1,1,ARG0,VGF3
चाहते,VGF3,ता_है,CCP3,ccof,0,,
कि2,CCP4,0,VGF3,k2,1,ARG1,VGF3
बोझ,NP8,0,VGF4,k2,1,ARG1,VGF4
जनता,NP9,0_पर,VGF4,k7,1,ARG2,VGF4
डाला,VGF4,या_जा+एं,CCP4,ccof,0,,
कारण,NP,0,VGF,k1,1,ARGM-CAU,VGF
यह,NP2,0,VGF,k1s,1,ARG1,VGF
बताया,VGF,या_जा_रह+या_है,0,root,0,,
कि,CCP,0,NP2,rs,0,,
सरकार,NP3,0,VGF2,k1,1,ARG0,VGF2
त्यौहार,NP4,0_का,NP5,r6,0,,
मौसम,NP5,0_में,VGF2,k7t,1,ARGM-TMP,VGF2
जनता,NP6,0_पर,VGF2,k7,1,ARG2,VGF2
भार,NP7,0,VGF2,k2,1,ARG1,VGF2
