word,chunk,postposition,dependency-head,dependency,is_arg,srl,predicate,head-POS
कदम,NP7,0_के_खिलाफ,VGF2,vmod,0,,,n
गांधी,NP8,0_से,VGF2,k4,0,,,n
शिकायत,NP9,0,VGF2,pof,0,,,n
करेंगे,VGF2,गा,CCP2,ccof,0,,,v
लालू,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
भारती,NP2,0,VGF2,k1,1,ARG1,VGF2,n
सांप्रदायिकता,NP3,0,CCP2,ccof,0,,,n
और,CCP2,0,NP5,r6,0,,,avy
फासीवाद,NP4,0_का,CCP2,ccof,0,,,n
प्रतीक,NP5,0,VGF2,k1s,1,ARG2-ATR,VGF2,n
हैं,VGF2,है,CCP,ccof,0,,,v
उन्होंने,NP,ने,VGF,k1,0,,,pn
अय्यर,NP2,0_को,VGF,k4,0,,,n
सलाह,NP3,0,VGF,pof,0,,,n
दी,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,0,,,avy
विवाद,NP4,0_पर,VGF2,k7,1,ARGM-LOC,VGF2,n
वह,NP5,0,VGF2,k1,1,ARG0,VGF2,pn
शिवसेना,NP6,0,CCP2,ccof,0,,,n
और,CCP2,0,NP8,r6,0,,,avy
भाजपा,NP7,0_का,CCP2,ccof,0,,,n
दबाव,NP8,0_के_आगे,VGF2,k7,1,ARGM-DIR,VGF2,n
कतई,RBP,0,VGF2,adv,1,ARGM-MNR,VGF2,adv
झुकें,VGF2,एं,CCP,ccof,0,,,v
हुबली,NP,0_में,VGF,k7p,1,ARGM-LOC,VGF,n
श्रेणी,NP2,0_का,NP3,r6,0,,,n
इस्माइल,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
मंगलवार,NP4,0_को,VGF,k7t,1,ARGM-TMP,VGF,n
नागेंद्र,NP5,0_से,VGF,k4,1,ARG2,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वह,NP6,0,VGF2,k1,1,ARG0,VGF2,pn
उमा,NP7,0_पर,VGF2,k7p,1,ARGM-LOC,VGF2,n
मामला,NP8,0,VGNN,k2,0,,,n
वापस,JJP,0,VGNN,pof,0,,,adj
लेने,VGNN,ना_का,NP9,r6,0,,,v
प्रार्थना,NP9,0,VGF2,k2,1,ARG1,VGF2,n
दें,VGF2,एं,CCP,ccof,0,,,v
वकीलों,NP,0_का,NP2,r6,0,,,n
हंगामे,NP2,0_के,VGNF,k1,1,ARG1,VGNF,n
चलते,VGNF,0,VGF,adv,0,,,v
भारती,NP3,0_का,NP4,r6,0,,,n
मामले,NP4,0_का,NP5,r6,0,,,n
सुनवाई,NP5,0,VGF,k1,0,,,n
आज,NP6,0,VGF,k7t,0,,,n
बार,NP7,0,VGF,adv,0,,,n
बाधित,JJP,0,VGF,pof,0,,,adj
हुई,VGF,या,0,root,0,,,v
वकील,NP,0,VGF,k1,1,ARG0,VGNN,n
धारवाड़,NP2,0_में,VGF,k7p,0,,,n
कोर्ट,NP3,0_का,NP4,r6,0,,,n
पीठ,NP4,0_को,VGNN,k2,1,ARG2,VGNN,n
जरूरी,JJP,0,VGNN,k2s,1,ARG1,VGNN,adj
बताने,VGNN,ना,JJP2,jjmod,0,,,v
संबंधी,JJP2,0,NP6,nmod,0,,,adj
न्यायाधीश,NP5,0_का,NP6,r6,0,,,n
बयान,NP6,0_पर,VGF,k7,0,,,n
विरोध,NP7,0,VGF,pof,0,,,n
जता,VGF,0_रह+या_था,0,root,0,,,v
गौरतलब,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
है,VGF,है,0,root,0,,,v
कि,CCP,0,NULL__NP,rs,0,,,avy
अगस्त,NP,0,VGF2,k7t,1,ARGM-TMP,VGF2,n
१९९४,NP2,0_को,VGF2,k7t,1,ARGM-TMP,VGF2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
निषेधाज्ञा,NP3,0_के_बावजूद,VGNN,vmod,1,ARGM-EXT,VGNN,n
हुबली,NP4,0_का,NP5,r6,0,,,n
मैदान,NP5,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
तिरंगा,NP6,0,VGNN,k2,1,ARG1,VGNN,n
फहराने,VGNN,ना_का,NP8,r6,0,,,v
भारती,NP7,0_का,NP8,r6,1,ARG0,VGNN,n
अभियान,NP8,0_के_बाद,VGF2,k7t,1,ARGM-TMP,VGF2,n
हिंसा,NP9,0_में,VGF2,k7,1,ARGM-LOC,VGF2,n
लोग,NP10,0,VGF2,k2,1,ARG1,VGF2,n
मारे,VGF2,या_जा+या१_था,CCP,k7t,0,,,v
लेकिन,CCP,0,0,root,0,,,avy
२००२,NP,0_में,VGF,k7t,1,ARGM-TMP,VGF,n
कर्नाटक,NP2,0_का,NP3,r6,0,,,n
सरकार,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
उमा,NP4,0_से,VGNN,k5,1,ARG2-LOC,VGNN,n
मामले,NP5,0,VGNN,k2,1,ARG1,VGNN,n
हटाने,VGNN,ना_का,NP7,r6,0,,,v
अदालत,NP6,0_में,VGF,k7p,1,ARGM-LOC,VGF,n
अर्जी,NP7,0,VGF,k2,1,ARG1,VGF,n
दी,VGF,या_था,CCP,ccof,0,,,v
मामले,NP,0,VGF,k2,1,ARG1,VGF,n
उसने,NP2,ने,VGF,k1,1,ARG0,VGF,pn
अपने,NP3,0,NP4,r6,0,,,pn
क्षेत्र,NP4,0_से_बाहर,VGF,k2s,1,ARGM-MNR,VGF,n
बताए,VGF,या_था,0,root,0,,,v
कर्नाटक,NP,0_का,NP2,r6,0,,,n
सरकार,NP2,0_ने,VGF,k1,1,ARG0,VGNN,n
उमा,NP3,0_पर,VGNN,k7,1,ARGM-LOC,VGNN,n
मामले,NP4,0,VGNN,k2,1,ARG1,VGNN,n
दोबारा,RBP,0,VGNN,adv,1,ARGM-MNR,VGNN,adv
खुलवाने,VGNN,ना_का,VGF,k2,0,,,v
फैसला,NP5,0,VGF,pof,0,,,n
लिया,VGF,या_था,CCP,ccof,0,,,v
लेकिन,CCP,0,0,root,0,,,avy
सोमवार,NP6,0_को,VGF2,k7t,1,ARGM-TMP,VGF2,n
राज्य,NP7,0_का,NP8,r6,0,,,n
महाधिवक्ता,NP8,0_ने,VGF2,k1,1,ARG0,VGF2,n
कोर्ट,NP9,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
NULL2,NULL2,0,0,root,0,,,NULL
यह,NP10,0,VGNF,k2,1,ARG1,VGNF,pn
कहकर,VGNF,कर,VGF2,vmod,1,ARGM-MNR,VGF2,v
चौंका,VGF2,0_दे+या,CCP,ccof,0,,,v
कि,CCP2,0,NP10,rs,0,,,avy
सरकार2,NP11,0,VGF3,k1,0,,,n
मामले2,NP12,0,VGNN2,k2,0,,,n
वापस,JJP,0,VGNN2,pof,0,,,adj
लेने,VGNN2,ना_पर,VGF3,rt,0,,,v
सहमत,JJP2,0,VGF3,pof,0,,,adj
है,VGF3,है,CCP2,ccof,0,,,v
ऑपरेशन,NP,0_के_बाद,VGF,k7t,1,ARGM-TMP,VGF,n
बच्चन,NP2,0_का,NP3,r6,0,,,n
हालत,NP3,0,VGF,k1,1,ARG1,VGF,n
स्थिर,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
बनी,VGF,या_हो+या_है,0,root,0,,,v
ऑपरेशन,NP,0_के_बाद,VGF,k7t,1,ARGM-TMP,VGF,n
बच्चन,NP2,0_का,NP3,r6,0,,,n
हालत,NP3,0,VGF,k1,1,ARG1,VGF,n
स्थिर,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
बनी,VGF,या_हो+या_है,0,root,0,,,v
अस्पताल,NP,0_का,NP2,r6,0,,,n
सूत्रों,NP2,0_के_मुताबिक,VGF,k7,1,ARGM-ADV,VGF,n
उन्हें,NP3,को,VGF,k4a,1,ARG0,VGNN,pn
मुंह,NP4,0_से,VGNN,k3,1,ARGM-MNS,VGNN,n
भोजन,NP5,0,VGNN,k2,1,ARG1,VGNN,n
करने,VGNN,ना_का,NP6,r6,0,,,v
इजाजत,NP6,0,VGF,k1,1,ARG2-ATR,VGF,n
है,VGF,है,0,root,0,,,v
इसमें,NP,में,VGF,k7,1,ARG1,VGF,pn
अभी,NP2,0,VGF,vmod,1,ARGM-TMP,VGF,pn
वक्त,NP3,0,VGF,k1,1,ARG2-ATR,VGF,n
लगेगा,VGF,गा,0,root,0,,,v
सर्जरी,NP,0_का,NP2,r6,0,,,n
घंटे,NP2,0_बाद,VGF,k7t,1,ARGM-EXT,VGF,n
स्टार,NP3,0,VGF,k1,1,ARG1,VGF,n
डॉक्टरों,NP4,0_का,NP5,r6,0,,,n
निगरानी,NP5,0_में,VGF,k7,1,ARGM-LOC,VGF,n
हैं,VGF,है,0,root,0,,,v
फिलहाल,RBP,0,VGF,sent-adv,1,ARGM-ADV,VGF,adv
उन्हें,NP,को,VGF,k2,1,ARG1,VGF,pn
कक्ष,NP2,0,VGF,k7p,1,ARGM-LOC,VGF,n
आईसीयू,NP3,0,NP2,nmod,0,,,n
में,FRAGP,0,NP2,fragof,0,,,psp
रखा,VGF,या_जा+या१_है,0,root,0,,,v
डॉक्टरों,NP,0_का,VGF,k1,1,ARG0,VGF,n
कहना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
उन्हें,NP2,को,VGNN,k2,1,ARG1,VGNN,pn
आईसीयू,NP3,0_से,VGNN,k5,1,ARG2-SOU,VGNN,n
वार्ड,NP4,0_में,VGNN,k7p,1,ARG2-GOL,VGNN,n
भेजने,VGNN,ना_के_बारे_में,VGF2,k7,0,,,v
जल्द,RBP,0,VGF2,adv,0,,,adv
फैसला,NP5,0,VGF2,pof,0,,,n
लिया,VGF2,या_जा+गा,CCP,ccof,0,,,v
मालूम,JJP,0,VGF,pof,0,,,adj
हो,VGF,0,0,root,0,,,v
कि,CCP,0,VGF,k1,0,,,avy
अमिताभ,NP,0,VGF2,k1,1,ARG1,VGF2,n
डाइवरटीकुलाइटिस,NP2,0,NP3,rs,0,,,n
रोग,NP3,0_से,VGF2,rh,1,ARGM-MNR,VGF2,n
पीड़ित,JJP2,0,VGF2,k1s,1,ARG2-ATR,VGF2,adj
थे,VGF2,था,CCP,ccof,0,,,v
रोग,NP,0_में,VGF,k7,1,ARG1,VGF,n
आंत,NP2,0_में,VGF,k7p,1,ARGM-LOC,VGF,n
सूजन,NP3,0,VGF,k1,1,ARG2-ATR,VGF,n
हो,VGF,0_जा+ता_है,0,root,0,,,v
डॉक्टरों,NP,0_ने,VGF,k1,1,ARG0,VGF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
प्रकार,NP2,0_का,NP3,r6,0,,,n
रिपोर्ट,NP3,0,VGF2,k1,1,ARG1,VGF2,n
सामान्य,JJP,0,VGF2,k1s,1,ARG2-ATR,VGF2,adj
हैं,VGF2,है,CCP2,ccof,0,,,v
और,CCP2,0,CCP,ccof,0,,,avy
उनका,NP4,का,NP5,r6,0,,,pn
घाव,NP5,0,VGF3,k1,1,ARG1,VGF3,n
भर,VGF3,0_रह+या_है,CCP2,ccof,0,,,v
डॉक्टर,NP,0,VGF,k1,1,ARG0,VGNF,n
जब,NP2,0,VGF,k7t,0,,,pn
घाव,NP3,0,VGNN,k2,1,ARG1,VGNN,n
भरने,VGNN,ना_को,VGNF,k2,1,ARG1,VGNF,v
लेकर,VGNF,कर,VGF,vmod,0,,,v
आश्वस्त,JJP,0,VGF,pof,0,,,adj
हो,VGF,0_जा+ता,NP4,nmod__relc,0,,,v
तब,NP4,0,VGF2,k7t,0,,,pn
उन्हें,NP5,को,VGF2,k2,1,ARG0,VGNN2,pn
NULL2,NULL__NP,0,0,root,0,,,NULL
मुंह,NP6,0_से,VGNN2,k3,1,ARGM-MNS,VGNN2,n
भोजन,NP7,0,VGNN2,k2,1,ARG1,VGNN2,n
करने,VGNN2,ना_का,NP8,r6-k2,0,,,v
इजाजत,NP8,0,VGF2,pof,0,,,n
दी,VGF2,या_जा+गा,0,root,0,,,v
हालांकि,CCP,0,CCP2,ccof,0,,,avy
उन्हें,NP,को,VGF,k4,1,ARG0,VGNN,pn
दिन,NP2,0_बाद,VGF,k7t,0,,,n
मुंह,NP3,0_से,VGNN,k3,1,ARGM-MNR,VGNN,n
भोजन,NP4,0,VGNN,k2,1,ARG1,VGNN,n
करने,VGNN,ना_का,NP5,r6-k2,0,,,v
अनुमति,NP5,0,VGF,pof,0,,,n
मिल,VGF,0_सक+ता_है,CCP,ccof,0,,,v
लेकिन,CCP2,0,0,root,0,,,avy
तरह,NP6,0,VGNN2,adv,0,,,n
स्वस्थ,JJP,0,VGNN2,pof,0,,,adj
होने,VGNN2,ना_से_पहले,VGF2,vmod,0,,,v
उन्हें2,NP7,को,VGF2,k1,0,,,pn
पदार्थ,NP8,0,CCP3,ccof,0,,,n
और,CCP3,0,VGF2,k3,0,,,avy
फलों,NP9,0_का,NP10,r6,0,,,n
रस,NP10,0_से,CCP3,ccof,0,,,n
काम,NP11,0,VGF2,pof,0,,,n
चलाना,VGF2,ना_हो+गा,CCP2,ccof,0,,,v
अभी,NP,0,VGF,k7t,1,ARGM-TMP,VGF,pn
उन्हें,NP2,को,VGF,k4,1,ARG2,VGF,pn
पाइप,NP3,0_के_जरिये,VGF,k3,1,ARGM-MNS,VGF,n
पदार्थ,NP4,0,CCP,ccof,0,,,n
और,CCP,0,VGF,k2,1,ARG1,VGF,avy
दवाइयां,NP5,0,CCP,ccof,0,,,n
दी,VGF,या_जा_रह+या_है,0,root,0,,,v
सूत्रों,NP,0_का,VGF,k1,1,ARG0,VGF,n
कहना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
हॉस्पिटल,NP2,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
स्टार,NP3,0_का,NP4,r6,0,,,n
सेहत,NP4,0_के_बारे_में,VGNN,k7,0,,,n
जानकारी,NP5,0,VGNN,pof,0,,,n
लेने,VGNN,ना_वाला_का,NP6,r6,0,,,v
भीड़,NP6,0,VGF2,k1,1,ARG1,VGF2,n
लगी,VGF2,या_रह+ता_है,CCP,ccof,0,,,v
आईसीयू,NP,0_में,VGNN,k7p,1,ARG2-GOL,VGNN,n
परिवार,NP2,0_का,NP3,r6,0,,,n
सदस्यों,NP3,0,CCP,ccof,0,,,n
और,CCP,0,VGNN,vmod,1,ARGM-ADV,VGNN,avy
उनके,NP4,का,NP5,r6,0,,,pn
मित्रों,NP5,0_के_अलावा,CCP,ccof,0,,,n
और2,NP6,0_को,VGNN,k2,1,ARG0,VGNN,n
जाने,VGNN,ना_का,NP7,r6-k1,0,,,v
अनुमति,NP7,0,VGF,pof,0,,,n
है,VGF,है,0,root,0,,,v
",",NP,0,VGF,sent-adv,1,ARGM-DIS,VGF,s
डॉक्टरों,NP2,0_का,VGF,k1,1,ARG0,VGF,n
कहना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
अमिताभ,NP3,0_को,VGF2,k1,0,,,n
अभी,NP4,0,VGF2,k7t,0,,,pn
महीने,NP5,0,VGF2,k7t,0,,,n
आराम,NP6,0,VGF2,pof,0,,,n
करना,VGF2,ना_हो+गा,CCP,ccof,0,,,v
इसके,NP,के_बाद,VGF,k7t,1,ARGM-TMP,VGF,pn
वह,NP2,0,VGF,k1,1,ARG0,VGF,pn
सेट,NP3,0_पर,VGF,k7p,1,ARGM-LOC,VGF,n
लौट,VGF,0_सक+ता_है,0,root,0,,,v
सरकार,NP,0_ने,VGF2,k1,0,,,n
लहरों,NP2,0_से,VGNF,rh,1,ARGM-CAU,VGNF,n
हुए,VGNF,या,NP3,nmod__k1inv,0,,,v
हादसे,NP3,0_का,NP4,r6-k1,1,ARG1,VGNF,n
असर,NP4,0,VGF,k1,1,ARG1,VGF,n
उद्योग,NP5,0_पर,VGF,k7,1,ARGM-LOC,VGF,n
पड़े,VGF,या,NP6,rs,0,,,v
इसके,NP6,0_ले,VGF2,rt,0,,,pn
कोशिश,NP7,0,VGF2,pof,0,,,n
तेज,JJP,0,VGF2,adv,0,,,adj
कर,VGF2,0_दे+या_है,0,root,0,,,v
सरकार,NP,0_ने,VGF,k1,1,ARG0,VGNN2,n
हादसे,NP2,0_का,NP3,r6,0,,,n
शिकार,NP3,0,NP4,nmod,0,,,n
पर्यटकों,NP4,0_को,VGNN2,k4,1,ARG2,VGNN2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
भारत,NP5,0,VGNF,k7p,1,ARGM-LOC,VGNF,n
NULL3,NULL__NP,0,0,root,0,,,NULL
होकर,VGNF,कर,VGNN,vmod,1,ARGM-MNR,VGNN,v
जाने,VGNN,एं_का_लिए,VGNN2,rt,1,ARGM-PRP,VGNN2,v
वीज़ा,NP6,0,VGNN2,k2,1,ARG1,VGNN2,n
देने,VGNN2,ना_का,NP7,r6-k2,0,,,v
फैसला,NP7,0,VGF,pof,0,,,n
किया,VGF,या_है,0,root,0,,,v
",",NP,0,VGF,sent-adv,0,,,SYM
मंत्रालय,NP2,0,VGF,k1,0,,,NNP
देशों,NP3,0_में,JJP,jjmod,0,,,n
स्थित,JJP,0,NP4,nmod,0,,,adj
दूतावासों,NP4,0_को,VGF,k4,0,,,n
यह,NP5,0,VGF,k2,0,,,DEM
निर्देश,NP6,0,VGF,pof,0,,,n
देने,VGF,ना_रह+या_है,0,root,0,,,v
कि,CCP,0,VGF,k2s,0,,,conj
वे,NP7,0,VGF2,k1,1,ARG0,VGF2,pn
हादसे,NP8,0_का_बारे_में,VGF2,k7,1,ARGM-LOC,VGF2,n
वहां,NP9,0_का,NP10,r6,0,,,pn
लोगों,NP10,0_को,VGF2,k4,1,ARG2,VGF2,n
जानकारी,NP11,0,VGF2,k2,1,ARG1,VGF2,n
दे,VGF2,एं,CCP,ccof,0,,,v
दूतावास,NP,0,VGF,k1,1,ARG0,VGNF,n
ऑपरेटरों,NP2,0_से,VGNF,ras-k1,1,ARG1,VGNF,n
मिलकर,VGNF,कर,VGF,adv,0,,,v
मुहिम,NP3,0,VGF,pof,0,,,n
चलाएगा,VGF,गा,0,root,0,,,v
जिसके,NP4,0_तहत,VGF2,k7,1,ARGM-ADV,VGF2,pn
पर्यटकों,NP5,0_को,VGF2,k4,1,ARG2,VGF2,n
बताया,VGF2,या_जा+गा,NP3,nmod__relc,0,,,v
कि,CCP,0,VGF2,k2,1,ARG1,VGF2,conj
हादसे,NP6,0_से,VGF3,rh,0,,,n
सिर्फ़,RBP,0,NP7,nmod,0,,,RB
राज्य,NP7,0,VGF3,k1,0,,,n
प्रभावित,JJP,0,VGF3,pof,0,,,adj
हुए,VGF3,या_है,CCP2,ccof,0,,,v
",",CCP2,0,CCP,ccof,0,,,
भारत,NP8,0,NULL__VGF,k1,0,,,NNP
NULL3,NULL3,0,CCP2,ccof,0,,,NULL
.,NEGP,0,NULL__VGF,fragof,0,,,SYM
बैठक,NP,0_का_बाद,VGF,k7t,1,ARGM-TMP,VGF,n
संवाददाताओं,NP2,0_से,NULL__VGNF,ras-k1,0,,,n
बातचीत,NP3,0_में,VGF,k7,1,ARGM-LOC,VGF,n
चौधरी,NP4,0,CCP,ccof,0,,,NNP
और,CCP,0,VGF,k1,1,ARG0,VGF,avy
पटेल,NP5,0_ने,CCP,ccof,0,,,NNP
बताया,VGF,या,0,root,0,,,v
कि,CCP2,0,VGF,k2,1,ARG1,VGF,avy
सरकार,NP6,0,VGF2,k1,1,ARG0,VGF2,n
श्रीलंका,NP7,0,CCP3,ccof,0,,,NNP
NULL2,NULL__NP,0,0,root,0,,,NULL
और2,CCP3,0,VGNF,k7p,1,ARG2-LOC,VGNF,conj
देशों,NP8,0_में,CCP3,ccof,0,,,n
फंसे,VGNF,या,NP9,nmod__k1inv,0,,,v
पर्यटकों,NP9,0_को,VGF2,k4,1,ARG2,VGF2,n
NULL3,NULL3,0,0,root,0,,,NULL
भारत,NP10,0_से,VGNF2,k7p,1,ARGM-LOC,VGNF2,NNP
NULL4,NULL__NP,0,0,root,0,,,NULL
होकर,VGNF2,कर,VGNN,adv,1,ARGM-MNR,VGNN,v
जाने,VGNN,ना_का_लिए,VGF2,rt,1,ARGM-PRP,VGF2,v
वीज़ा,NP11,0,VGF2,k2,1,ARG1,VGF2,n
देगी,VGF2,गा,CCP2,ccof,0,,,v
इसके,NP,0_अलावा,VGF,sent-adv,1,ARGM-DIS,VGF,pn
पर्यटकों,NP2,0_को,VGF,k4,1,ARG2,VGF,n
भारत,NP3,0,VGNN,k2p,1,ARG2-GOL,VGNN,NNP
आने,VGNN,ना_का,NP4,r6,0,,,v
इजाज़त,NP4,0,VGF,k2,1,ARG1,VGF,n
दी,VGF,या_जा+गा,0,root,0,,,v
जो,NP5,0,VGF2,k1,1,ARG0,VGF2,pn
हादसे,NP6,0_का_बाद,VGF2,k7t,1,ARGM-TMP,VGF2,n
इंडोनेशिया,NP7,0,CCP,ccof,0,,,NNP
NULL2,NULL2,0,0,root,0,,,NULL
या,CCP,0,VGNN2,vmod,1,ARGM-MNR,VGNN2,conj
श्रीलंका,NP8,0_का_बजाय,CCP,ccof,0,,,NNP
भारत2,NP9,0,VGNN2,k2p,1,ARG2-GOL,VGNN2,NNP
आना,VGNN2,ना,VGF2,k2,1,ARG1,VGF2,v
चाहते,VGF2,ता_है,NP2,nmod__relc,0,,,v
मंत्रालय,NP,0_का,NP2,r6,0,,,NNP
सूत्रों,NP2,0_का_मुताबिक,VGF,k7,1,ARGM-ADV,VGF,n
मंत्रालय2,NP3,0_को,VGF,k4a,1,ARG0,VGF,n
आज,NP4,0,VGF,k7t,1,ARGM-TMP,VGF,n
जानकारी,NP5,0,VGF,k1,1,ARG1,VGF,n
मिली,VGF,या_था,0,root,0,,,v
कि,CCP,0,NP5,rs,0,,,conj
ब्रिटेन,NP6,0_ने,VGF2,k1,1,ARG0,VGF2,NNP
पर्यटकों,NP7,0_को,VGF2,k4,1,ARG2,VGF2,n
भारत,NP8,0,VGNN,k2p,1,ARG2-GOL,VGNN,NNP
आने,VGNN,ना_का,NP9,r6,0,,,v
सलाह,NP9,0,VGF2,k2,1,ARG1,VGF2,n
दी,VGF2,या_है,CCP,ccof,0,,,v
खबर,NP,0_से,VGF,rh,1,ARGM-CAU,VGF,n
मंत्रालय,NP2,0,VGF,k1,1,ARG1,VGF,n
चिंतित,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
हो,VGF,एं_जा+या१_था,0,root,0,,,v
लेकिन,CCP,0,0,root,0,,,avy
शाम,NP,0,VGF,k7t,0,,,n
मंत्रालय,NP2,0_को,VGF,k4a,0,,,n
पता,JJP,0,VGF,pof,0,,,adj
चला,VGF,0,CCP,ccof,0,,,v
कि,CCP2,0,NULL__NP,rs,0,,,conj
सरकार,NP3,0_ने,VGF2,k1,1,ARG0,VGF2,NNP
सिर्फ,RBP,0,JJP2,jjmod,0,,,RB
प्रभावित,JJP2,0,NP4,nmod,0,,,adj
NULL2,NULL__NP,0,0,root,0,,,NULL
राज्यों,NP4,0_में,VGNN,k2p,1,ARG2-GOL,VGNN,n
जाने,VGNN,ना_का,NP5,r6,0,,,v
सलाह,NP5,0,VGF2,k2,1,ARG1,VGF2,n
दी,VGF2,या_है,CCP2,ccof,0,,,v
अलबत्ता,RBP,0,VGF,sent-adv,0,,,adv
सरकार,NP,0_ने,VGF,k1,1,ARG0,VGNN3,n
आने,VGNN,ना_वाला,NP2,nmod__k1inv,0,,,v
NULL2,NULL2,0,0,root,0,,,NULL
दिनों,NP2,0_में,VGNN2,k7t,1,ARGM-TMP,VGNN2,n
पर्यटकों,NP3,0_को,VGNN2,k2,1,ARG1,VGNN2,n
गलतफहमी,NP4,0_से,VGNN2,k5,1,ARG2,VGNN2,n
NULL3,NULL3,0,0,root,0,,,NULL
बचाने,VGNN2,ना_का_लिए,VGNN3,rt,1,ARGM-PRP,VGNN3,v
दूतावासों,NP5,0_का_जरिये,VGNN3,k3,1,ARGM-MNS,VGNN3,n
पर्यटकों2,NP6,0_को,VGNN3,k4,1,ARG2,VGNN3,n
यह,NP7,0,VGNN3,k2,1,ARG1,VGNN3,pn
बताने,VGNN3,ना_का,NP8,r6-k2,0,,,v
कोशिश,NP8,0,VGF,pof,0,,,n
करेगा,VGF,गा,0,root,0,,,v
कि,CCP,0,VGNN3,k2s,0,,,conj
हादसे,NP9,0_से,VGF2,rh,0,,,n
देश,NP10,0,VGF2,k1,0,,,n
प्रभावित,JJP,0,VGF2,pof,0,,,adj
हुआ,VGF2,या_है,CCP,ccof,0,,,v
बस,NP,0_से,VGF,k3,0,,,n
जून,NP2,0_को,VGF,k7t,0,,,n
कश्मीर,NP3,0,CCP,ccof,0,,,n
और,CCP,0,NP5,r6,0,,,avy
पाकिस्तान,NP4,0_का,CCP,ccof,0,,,n
यात्रा,NP5,0_का_दौरान,VGF,k7t,0,,,n
नेताओं,NP6,0_को,VGF,k1,0,,,n
अपने,NP7,0_साथ,VGNN,ras-k1,1,ARGM-MNR,VGNN,pn
पासपोर्ट,NP8,0,VGNN,k2,1,ARG1,VGNN,n
ले,VGNN,0_जा+ना_का,NP9,r6-k2,0,,,v
हिदायत,NP9,0,VGF,pof,0,,,n
दी,VGF,या_जा+या१_है,0,root,0,,,v
इसके,NP,के_साथ,VGNF,sent-adv,0,,,pn
कांफ्रेंस,NP2,0_द्वारा,VGNF,k1,0,,,n
ऑफिस,NP3,0_में,VGNF,k7p,0,,,n
जमा,NP4,0,VGNF,pof,0,,,n
किए,VGNF,या_जा+या१,NP5,nmod__k2inv,0,,,v
फॉर्म,NP5,0_का,NP6,r6,0,,,n
संख्या,NP6,0,VGF,k1,1,ARG1,VGF,n
११,NP7,0,VGF,k1s,1,ARG2-ATR,VGF,num
हो,VGF,0_जा+या१_है,0,root,0,,,v
",",NP,0,VGF,sent-adv,0,,,punc
१७,NP2,0_में_से,VGNN,k5,0,,,n
सदस्यों,NP3,0_को,VGNN,k4,0,,,n
यात्रा,NP4,0_का,NP5,r6-k2,0,,,n
मंजूरी,NP5,0,VGNN,pof,0,,,n
दिए,VGNN,या_जा+ना_दे+ना_का,NP6,nmod,0,,,v
फैसले,NP6,0_का,NP7,r6,0,,,n
विरोध,NP7,0_में,VGF,k7,0,,,n
फ्रंट,NP8,0,VGF,k1,1,ARG0,VGNN2,n
जेकेएलएफ,NP9,0,NP8,nmod,0,,,n
ने,FRAGP,0,NP8,fragof,0,,,psp
मलिक,NP10,0_को,VGNN2,k2,1,ARG2,VGNN2,n
भेजने,VGNN2,ना_का,NP11,r6-k2,0,,,v
निर्णय,NP11,0,VGF,pof,0,,,n
किया,VGF,या_है,0,root,0,,,v
",",NP,0,VGF,sent-adv,0,,,punc
कराची,NP2,0,CCP,ccof,0,,,n
व,CCP,0,VGNN,k7p,1,ARGM-LOC,VGNN,avy
मुंबई,NP3,0_में,CCP,ccof,0,,,n
क्रमशः,RBP,0,VGNN,vmod,1,ARG0,VGNN,adv
भारत,NP4,0,CCP2,ccof,0,,,n
व2,CCP2,0,NP6,r6,0,,,avy
पाक,NP5,0_का,CCP2,ccof,0,,,n
कार्यालय,NP6,0,VGNN,k2,1,ARG1,VGNN,n
वर्ष,NP7,0_का,NP8,r6,0,,,n
दिन,NP8,0,VGNN,k7t,1,ARGM-TMP,VGNN,n
फिर,RBP2,0_से,VGNN,adv,1,ARGM-MNR,VGNN,adv
खोलने,VGNN,ना_का,NP9,r6,0,,,v
कार्यक्रम,NP9,0_में,VGF,k7,0,,,n
विलंब,NP10,0,VGF,pof,0,,,n
